"manuscript_title","manuscript_section","writing_style", "author"
"identidad del profesorado universitario de la facultad de ciencias administrativas y contables en la puce-esmeraldas","introduction","En estos últimos años América Latina viene sufriendo procesos de cambios relacionados con la calidad educativa y formativa del personal docente universitario; profesional que, en la actualidad, tiene un radio de acción más amplio debido a que su labor no solo está destinada a la enseñanza, sino a otros aspectos que empoderan su rol de académico. En este marco, el personal docente ecuatoriano ha encontrado diversidad de retos (Achilie, 2017) que se expresan mediante nuevas tareas, dando origen a múltiples roles (Gómez, 2015) cuestión importante de la identidad docente universitaria. La identidad docente universitaria, se ha convertido en las dos últimas décadas en un marco de referencia en la Educación Superior (Alonso, Lobato, & Arandia, 2015). Este constructo da respuesta a la pregunta ¿qué significa ser docente en la universidad? (Muñoz & Arvayo, 2015). Una primera cuestión clave para responder a esta pregunta, es comprender el rol docente; entendido como la actividad de enseñar a través de la interacción y donde participan el personal docente, el alumnado y el objeto de conocimiento (Arias & Moya, 2015). Este primer actor desarrolla actividades con la finalidad de construir este conocimiento que promueva en el alumnado saberes que lo motivan a continuar aprendiendo activamente (Guzmán & Martínez, 2016). Pero, ser docente universitario requiere más que simplemente dominar la docencia, ejercerla es un trabajo de vocación, corazón (Piña, Quiñonez & Ramirez, 2017) y responsabilidad porque influye en la formación de profesionales (Monereo & Domínguez,, 2014) y para ello, el docente debe poseer dominio de sus roles, que en el contexto universitario, están enfocados en la docencia y también en la investigación, sumando a ello la vinculación con la sociedad y en muchos casos también la gestión. Estos roles son diversos y actúan en entornos distintos y complejos, debido a que cada docente desempeña su tarea desarrollando diferentes funciones, entre ellas la investigación que en la actualidad está ejerciendo un predominio sobre la docencia, originando que el progreso hacia la consolidación de los nuevos conceptos de enseñanza y aprendizaje sea un tanto lento (Caballero & Bolívar, 2015). No obstante, estas dos funciones, son las mayores preocupaciones de las universidades y definen la identidad profesional del personal docente. Un estudio comparado en diferentes países lationoamericanos (Fernández & Pérez, 2011) desvela diferencias en la dedicación de los académicos y académicas en estas dos grandes funciones, pero también indican que ambas funciones coexisten en la mayoría de los casos (Tabla, 1). En la actualidad otro factor que está teniendo un fuerte impacto en la identidad del profesorado universitario a nivel global y también en el contexto lationamericano, es responder a la cultura mercantilista y neoliberal que parece instalarse en buena parte de la Educación Superior. Conceptos como eficiencia, eficacia y rendición de cuentas han colonizado el lenguaje académico y han reorganizado las relaciones en el interior de estas instituciones (Villarruel , 2012). Esto ha transformado la concepción de la carrera académica en una Educación Superior, en la que responder al mercado y la competencia entre los propios académicos y académicas, junto a la presión por incrementar una productividad científica que contribuya al desarrollo económico de sus sociedades, forma ya parte del ser y estar del profesorado universitario (Fernández & Pérez, 2011; Bernasconi, 2013). En este contexto como plantea Villarruel (2012) la identidad académica se convierte en difusa y compleja, transformada en las diferentes relaciones que establece con un otro para coexistir materialmente en un mismo espacio histórico, es decir, entre lo que el docente o la docente piensa qué es, lo que se espera y lo que hace (Cappello, 2015; Guzmán & Martínez, 2016). Es evidente, que la identidad del personal docente universitario fluctúa entre la docencia y la investigación, funciones que deben ser fortalecidas en todos los niveles y modalidades del sistema de nivel superior (LOES, 2010). Sin embargo, en el ejercicio y desarrollo profesional se han evidenciado debilidades que han comprometido los modelos de desempeño de los roles profesionales de los académicos y académicas, así como la forma de comprender la constitución de sus identidades académicas (Larrinaga, 2016). Esta realidad demanda un reto al profesorado, así como a los procesos de formación y evaluación que deben implementar las Universidades como parte fundamental del desarrollo profesional (Caballero & Bolívar, 2015). De esta manera, hay la necesidad de actualizar y preparar programas que permitan fortalecer la identidad docente y sus competencias (Muñoz & Arvayo, 2015). En este marco, los y las docentes asumen roles y desarrollan competencias, no solo relacionadas con los saberes, sino con las habilidades que se adquieren a través de la experiencia (Guzmán & Martínez, 2016) y no pueden permanecer indiferentes respecto a la construcción de su identidad (Madueño, 2014). En ello, radica la relevancia de esta investigación que tiene como objetivo central analizar la identidad del profesorado universitario de la Facultad de Ciencias Administrativas y Contables en la PUCE- Esmeraldas.","1"
"identidad del profesorado universitario de la facultad de ciencias administrativas y contables en la puce-esmeraldas","conclusions","Como hemos podido comprobar en este trabajo la identidad del profesorado se construye a través del día a día, a través del tiempo o a lo largo de la vida y en diferentes momentos. Los roles de esta identidad están relacionados sobre todo con la docencia y la investigación, entrelazadas bajo una óptica que deja claro un horizonte en el que ambas tienen que estar combinadas. Frente a una idea de que no pueden convivir o que la investigación está reñida con la buena docencia, se puede ver que es posible que a través de la investigación también se mejore la docencia. Esto plantea en parte del profesorado un cambio de perspectiva, tensiones, pero también satisfacción en su trabajo académico. Como se ha podido apreciear en este trabajo la asunción de los diferentes roles profesionales es compleja y no exenta de tensión. Obliga a los academicos y académicas a que se formen de manera permanente en diferentes áreas del saber con el propòsito de enfrentar los nuevos retos que demandan la sociedad actual. De ahí que, es necesario que las universidades tengan una estrategía en este sentido y creen y mantegan programas de capacitación, actualización y motivación, programas que incidan en el fortalecimiento de la identidad docente (Muñoz & Arvayo, 2015). En este sentido, los procesos de formación se convierten en uno de los componentes principales que influye en el avance profesional (Caballero & Bolívar, 2015) del personal académico garantizando el buen desarrollo de su práctica profesional.","1"
"producción investigativa de los docentes de la escuela de contabilidad y auditoría pucese","introduction","Desde inicios del siglo XXI, las Instituciones de Educación Superior, así como los docentes universitarios, están viviendo un proceso de transformación en sus diferentes dimensiones, debido a varios cambios a nivel social, cultural, educativos, tecnológicos económicos y políticos. En este marco, el docente universitario ecuatoriano ha encontrado nuevos y variados retos y desafíos, entre ellos la investigación. Esta actividad ha sido un elemento importante debido a que conduce a la generación de nuevos conocimientos, como lo concibe la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO, 2005) y en los últimos años, ha asumido un rol protagónico (Segura, 2008). Además, esta misión ha generado debates importantes, en el caso de la academia ecuatoriana, debido a las nuevas obligaciones en la actividad del docente (Cortés, 2006, p. 9). Así, dentro de las actividades de investigación que han sido consideradas de envergadura para el fortalecimiento y cambio de las universidades ecuatorianas1, la producción científica ha sido el factor que formado parte de los debates en los ámbitos políticos, académicos, culturales, sociales, entre otros, de forma significativa, esto teniendo en cuenta que en el contexto global latino e iberoamericano la producción científica ecuatoriana es baja y poco visible internacionalmente (Bruque, 2013). La investigación científica, como uno de los motores de la academia ecuatoriana, de hecho ha formado parte de las políticas transformadoras del país. Es así que, el Plan Nacional del Buen Vivir 2013-2017, ha definido entre sus cambios más importantes: impulsar la transformación de la matriz productiva, articulando la investigación científica, tecnológica y la unión de la Educación Superior con el sector productivo, para conseguir una mejora permanente de la productividad y la competitividad de manera integral. En este contexto, varias universidades del país han comenzado procesos de auditorías (internas y externas) para conocer sus capacidades, fortalezas y debilidades en los distintos aspectos de la academia: docencia, gestión e investigación. Una de estas universidades ha sido la Pontificia Universidad Católica del Ecuador Sede Esmeraldas (PUCESE), que al ser evaluada por el anterior Consejo Nacional de Evaluación y Acreditación de la Educación Superior (CONEA, 2010), mostró un escenario deslucido en la producción científica, con un 12,07% en relación a los otros indicadores (academia, gestión y extensión), y con este porcentaje la Sede Esmeraldas no alcanzó los índices necesarios en investigación de acuerdo al número de sus docentes. Sobre esta problemática, varios han sido los aportes que se han enfocado en la producción investigativa. Así por ejemplo, existen investigaciones que han analizado la opinión del docente universitario en contabilidad en relación a su producción científica y las causas que pueden explicar su diferencia respecto a otras disciplinas (Escobar et al., 2014). Otros estudios se han enfocado en conocer el estado de la investigación de las ciencias económicas, administrativas y contables en relación a otras áreas de estudio (Flores, 2011), así como también, las dificultades de esta área en la producción investigativa (Briceño et al., 2007). Asimismo, existen investigaciones que han valorado el papel del departamento de postgrado en la formación de investigadores contables (Viloria, Casal, Peña, 2010). Empero, en el Ecuador, los estudios sobre esta problemática han sido escasos y se han enfocado sobre todo en analizar de manera bibliométrico-comparativa la producción científica del país, exponiendo que en el contexto global latino e iberoamericano la producción científica ecuatoriana es baja y poco visible internacionalmente (Bruque, 2013). Así, esta investigación tiene como objetivo analizar los elementos que contribuyen o limitan la producción investigativa de la PUCESE, en particular, de los docentes de la Escuela de Contabilidad y Auditoría.","1"
"producción investigativa de los docentes de la escuela de contabilidad y auditoría pucese","conclusions","A partir de esta investigación, los hallazgos encontrados podrían servir para hacer un diagnóstico comparativo del estado actual en el que se encuentra la producción investigativa de los docentes de la escuela de Contabilidad y Auditoría y buscar alternativas de mejora. Asimismo, se considera que estos resultados podrían ayudar a comprender el contexto de la academia ecuatoriana, sobre todo en provincias con escasa o sin tradición en investigación. A pesar de que se adopten mecanismos para fortalecer la actividad investigativa (por ejemplo, capacitación con talleres dirigidos), la sobre carga en otras actividades ajenas a la investigación (tales como, docencia y gestión) se presenta como un limitante para que los docentes desarrollen aptitudes y capacidades como investigadores. El aumento en la asignación de recursos financieros para formar docentes-investigadores no significa necesariamente que la producción investigativa aumente en el corto plazo. A pesar de que esta investigación puede ser considerada como un trabajo original, que pueda servir como base para futuras investigaciones sobre esta problemática, se considera que los resultados obtenidos no se los puede generalizar. En este sentido, se piensa que es necesario profundizar en conocer los factores que podrían generar un aumento significativo en cuanto a la producción investigativa.","1"
"rol investigador en la identidad del profesorado de educación física y psicología educativa estudio comparativo","introduction","El estudio de la identidad del profesorado sigue vigente a nivel global debido a que su evolución se relaciona con los cambios en las políticas públicas y con los procesos formativos que ellos asumen. El trabajo investigativo en la línea identidad del profesorado se ha incrementado en las últimas décadas, utilizando el enfoque de la dialógica (Uitto, Kaunisto, Syrjälä, & Estola, 2015). Las investigaciones involucran el papel relevante de la formación inicial, la interpretación de las reformas en los sistemas educativos y los procesos de perfeccionamiento profesional que se asumen (Tapia, Granados, & Fernández, 2017). Así, la formación doctoral consolida los conocimientos y habilidades de la profesión (Jara & Mayor-Ruíz, 2018), lo que apoya al profesorado para el desempeño de las funciones de docencia, investigación y vinculación con la sociedad (Morales & Rueda, 2019). Entre los antecedentes del proceso de evaluación de la calidad de las universidades y escuelas politécnicas de Ecuador, se señala la Ley de Educación Superior del año 2000 y la Resolución expedida en diciembre del 2002 por el Concejo Nacional de Educación Superior [CONESUP]. Así, la asignación de fondos del estado ecuatoriano dependía de las transferencias que las Instituciones de Educación Superior (IES) habían recibido en el año anterior. Por lo tanto, no eran considerados los factores tales como el cumplimiento de metas científicas, los objetivos de las políticas públicas, ni los aportes al desarrollo social. En dicho escenario, los líderes de las universidades fueron en muchos casos perennizados, situación que facilitó acciones indebidas y como resultado, la educación superior de Ecuador fue influenciada por procesos de mercantilización que imponía dinámicas de exclusión y abuso (Ramírez, Cevallos-Vallejos, Díaz-Reinoso, Grijalva, Rojas et al., 2016). Las universidades estatales fueron tildadas como de mala calidad para destacar las bondades de la educación privada, pero el ingreso a las universidades elitistas llegó a depender del poder adquisitivo e influencias de los aspirantes y de sus familias. Así, los procesos de desarrollo productivo se limitaron a la exportación de commodities carentes de valor agregado, mientras que el país importaba bienes industrializados y tecnológicos (Ramírez et al., 2016). El modelo de evaluación utilizado por CEAACES en el 2015 siguió los principios de la excelencia académica e incluye los criterios (a) Organización, (b) Academia, (c) Investigación, (d) Vinculación con la sociedad, (e) Recursos e infraestructura y (f) Estudiantes (Moreira, Fleitas, Veliz, & Vinces, 2016). Se trata de un sistema que busca de forma constante y sistemática la pertinencia, producción óptima, transmisión del conocimiento y desarrollo del pensamiento (Cevallos, 2018). No obstante, no considera los procesos puestos en marcha, sino que se centra en el análisis de los resultados (Véliz-Briones, 2018). En este punto, los autores declaran que el ‘rol investigador del profesorado’ se refiere a la participación en procesos que generan nuevos conocimientos que aportan al desarrollo de las naciones (Darley & Luethge, 2016). Se agrega que el profesorado se debe mantener en actividad investigativa para contribuir a la economía del conocimiento, ser relevantes para el contexto y garantizar que los estudiantes se eduquen mediante el uso de la investigación empírica y teórica. Por su parte, Keiler (2018), argumenta que el rol investigador del profesorado potencia en el alumnado la comprensión profunda del contenido y desarrolla las habilidades para el uso del método científico. Por su parte, Vallejo-López (2020) argumenta que el rol investigador del profesorado influye positivamente en el desarrollo académico de las instituciones educativas y propicia que el alumnado asuma el compromiso social y moral para ejecutar los proyectos de investigación a lo largo de la carrera y en el futuro ejercicio profesional. La educación superior de Ecuador continúa la ejecución de procesos de mejoramiento mediante indicadores sobre la internacionalidad de las universidades y la cooperación mediante redes de investigación (Guerreo-Aray, Suástegui-Solórzano, & Zambrano-Vera, 2019). Se trata de cambios necesarios en la educación superior en América Latina que además se vinculan con la infraestructura y la calidad de la enseñanza (Bernate, Guataquira Romero, Romero-Melo, & Reyes-Escobar, 2020). Por lo tanto, se confirma que el concepto de calidad en la educación superior tiene características de pluridimensionalidad, que contrasta todas las funciones sustantivas y procesos universitarios con la satisfacción de las partes interesadas (Orozco-Inca, Jaya-Escobar, Ramos Azcuy, & Guerra-Bretaña, 2020). Este trabajo se ha planteado a partir de la pregunta: ¿cuáles son los cambios en la identidad y en el rol investigativo del profesorado de Esmeraldas y Manabí de Ecuador? La hipótesis nula planteada es: No existen diferencias significativas entre los campos del conocimiento y el rol investigativo del profesorado de Educación Física y Psicología Educativa antes y después de la formación investigativa doctoral. Este trabajo tiene como objetivo comparar los cambios en la identidad del profesorado que asumió el rol investigativo en los campos del conocimiento de Educación Física y Psicología Educativa.","1"
"rol investigador en la identidad del profesorado de educación física y psicología educativa estudio comparativo","conclusions","A partir de la revisión teórica y los resultados del proceso empírico, se declara el cumplimiento del objetivo propuesto para este estudio. Así, se concluye que al fortalecerse el rol investigativo en la identidad del profesorado se potencia el cumplimiento de las políticas públicas de la educación superior de Ecuador. Los análisis estadísticos para la comprobación de la hipótesis muestran que no existen diferencias significativas entre el profesorado de Educación Física y Psicodidáctica respecto al rol investigativo. Por lo tanto, todos los participantes han fortalecido el rol investigador sin diferencias por el campo de trabajo que tienen. La contribución principal de este trabajo se centra en la determinación de los cambios del rol investigativo, el aporte a la innovación de los procesos de formación de profesionales, y la visión crítica y proactiva para la superación de las problemáticas que persisten en el contexto. Los resultados presentados pueden ser utilizados en la toma de decisiones institucionales para la construcción de proyectos diversos relacionados con la identidad del profesorado, y a nivel de la política pública este trabajo visibiliza resultados de la inversión nacional realizada para el perfeccionamiento del profesorado entre 2010-2020. Sin embargo, la oferta de programas de formación doctoral en Ecuador sigue siendo limitada, lo que sugiere a la comunidad científica trabajar en ese horizonte. Aunque, las recientes políticas de gobierno han priorizado la oferta de programas de formación técnica como ruta para el acceso al mercado laboral. La debilidad de este trabajo es quizás el tamaño del corpus que se concentra en dos de las 24 provincias de Ecuador. Sin embargo, el estudio propone una ruta para que se repliquen nuevos trabajos en esta línea. A manera de prospectiva respecto al nuevo perfil del profesorado se añade que el alumnado encuentra en ellos los nuevos modelos de profesionales y promotores de procesos para la construcción del conocimiento científico y en la educación del siglo XXI.","1"
"ley de solidaridad y corresponsabilidad ciudadana en comerciantes de muisne afectados por el terremoto de abril 2016","introduction","Los desastres naturales han marcado la historia de la humanidad con su poder destructivo y efectos negativos duraderos en la sociedad (Espinoza, 2008). En Ecuador, el terremoto del 16 de abril de 2016 impactó fuertemente a las provincias de Manabí y Esmeraldas, siendo la Isla del cantón Muisne la más afectada. Las familias se vieron obligadas a abandonar sus hogares y negocios, refugiándose en centros de ayuda gubernamental. La reconstrucción de viviendas, a menudo sin apoyo estatal, recayó en los recursos propios de los damnificados (Maldonado & Albio, 2013). En Muisne, las tiendas de abarrotes, pilar económico de la zona, sufrieron una drástica reducción de ventas debido al desplazamiento de la población y las dificultades de acceso para los proveedores por el mal estado de las carreteras. Un estudio de Ruiz (2017) reveló una disminución del 29% en las compras y la pérdida del 33% de los clientes en un año, subrayando la necesidad de apoyar a las pequeñas y medianas empresas (Dresdner & Sehnbruch, 2010; Mella, 2012). Estos eventos paralizan la economía al destruir infraestructura y equipamiento productivo (Rasse & Letelier, 2012; Razeto, 2013). Chile, con experiencia en desastres, implementó el Plan de Reconstrucción Terremoto y Maremoto en 2010, ofreciendo incentivos a Pymes y pescadores (Gobierno de Chile, 2010). El Programa de Desarrollo Solidario (PDS) del Banco del Desarrollo apoyó a mujeres de bajos recursos, destinando el 60% de los fondos a la vivienda (Rojas, 2017). En Ecuador, la Ley Orgánica de Solidaridad y de Corresponsabilidad Ciudadana para la Reconstrucción y Reactivación (LOSCCRR, 2016) buscó reactivar la economía mediante contribuciones, impuestos y exoneraciones. Según el Plan Reconstruyo Ecuador (Comité de Reconstrucción y Reactivación Productiva, 2016), las empresas grandes y pequeñas fueron las más afectadas. Ban Ecuador otorgó más de 2.251 créditos en Muisne, sumando USD 6.5 millones (Ban Ecuador, 2017). Este estudio analiza los beneficios recibidos por los comerciantes de víveres de Muisne tras el terremoto, evaluando el impacto de los incentivos de la LOSCCRR.","1"
"ley de solidaridad y corresponsabilidad ciudadana en comerciantes de muisne afectados por el terremoto de abril 2016","conclusions","El sismo incidió de manera significativa en la economía, infraestructura e inventarios de los comerciantes, originando problemas sociales y económicos en la zona. Los comerciantes accedieron a pocos incentivos de la Ley de Solidaridad por el tamaño de su negocio, no pudieron beneficiarse de la exoneración del impuesto a la renta y créditos financieros que podían ayudar a su reactivación económica.","1"
"factores de ámbito personal que motivan el abandono estudiantil el caso de un alumno universitario","introduction","Las instituciones de educación superior (IES), es un espacio donde actúan distintas establecimientos con perfiles y principios propios, sin embargo, en ocasiones se evidencian ciertos problemas comunes, entre ellas, el abandono estudiantil; situación que preocupa a la mayoría de las universidades, debido a las repercusiones que trae a nivel social, institucional, personal (Vaira, Ávila, Ricardi, & Bergesio, 2010);económicas, familiares, pedagógicas, de salud y geográficas (Centro de investigaciones Económicas, 2015). Estas instituciones universitarias, en ciertos momentos, pierden entre 25% y 35% de su matrícula, sumado aquellos porcentajes de estudiantes que dejan la universidad antes de titularse (Huesca & Castaño, 2007), es decir, inician, pero no terminan completamente la carrera (Merlino, Ayllón, & Escanés, 2011), como los jóvenes de 18 y 30 años (García & Adrogué, 2015). Las universidades y escuelas politécnicas públicas y privadas ecuatorianas, en el 2014, según la Secretaría de Educación Superior, Ciencia, Tecnología e Innovación (Senescyt), se inscribieron 400.000 alumnos, de los cuales, el 26% abandonó los estudios en los primeros semestres. Estas altas tasa de abandono estudiantil; impacta de forma negativa en el progreso de un país en los distintos campos sociales y científicos (Barrero, 2015). Existen algunas investigaciones, que han hecho énfasis en determinar las causas del abandono universitario, estos problemas se presenta a nivel: institucional, debido a deficiencia administrativa, influencia negativa de los docentes y otras personas inherente a la institución, programas académicos obsoletos y rígidos, baja calidad educativa; en lo académico, se reflejan, bajo rendimiento en el desempeño del estudiante, falta de disciplina y métodos de estudio; insatisfacción académica generada por la falta de espacios pedagógicos adecuados para el estudio, falta de orientación profesional en el momento que el alumno hace una elección inadecuada de su carrera (Sánchez, Navarro, & García, 2009) e Inseguridad personal, y disgustos con profesores o con otros estudiantes (Salcedo, 2011; García 2014), generándose entre los grupos altas y bajas motivaciones sociales (Sánchez & Pirela, 2006), dando lugar, a que en ocasiones se puedan plantear intervenciones para incrementar las competencias y autoestima pro-social en jóvenes en riesgo (Alba y otros, 2007). Por otra parte, el estudio realizado por Viteri y Uquillas(2011) mencionan y concluyen que los factores personales y académicos son determinante para que un estudiante abandone sus estudios universitarios; siendo este último factor considerado como un elemento indispensable y fundamental para la valoración de la calidad educativa de la enseñanza universitaria (Garbanzo, 2007). Otro acercamiento, es el estudio sobre la deserción y decepción de la juventud, realizado por Rojas (2009) donde expresa, aún siendo la decisión del estudiante de abandonar sus estudios de manera voluntaria, se evidencian otras causas que han conllevado a dicha decisión: los inadecuados modelos pedagógicos y de evaluación que aplican las universidades, planes de estudio que no cubren las expectativas del estudiante, relaciones interpersonales al desarrollar el proceso de enseñanza aprendizaje con excesiva rigidez; a pesar de ello vale la pena decir, que la flexibilidad pedagógica y las percepciones de los estudiantes respecto a su propio aprendizaje son factores que determinan la interacción alumno-docente (Escobar, 2015). No obstante pueden presentarse otras variables que limitan el desarrollo del del estudiante al logro de sus objetivos. En este sentido, el estudio realizado por Trevizán, Beltrán y Cosolito (2009) deja claro, que las variables socioeconómicas condicionan la graduación y la deserción de los alumnos en el trayecto de su carrera universitaria. Por tanto, sería necesario poner atención; debido a que la permanencia de un estudiante en la universidad y la culminación con éxito de sus estudios no solo es un tema que le interesa a las IES, sino a toda la sociedad (Osorio, Bolancé, & Castillo, 2011). En efecto, para lograr y beneficiar la permanencia del estudiante; es necesario que las instituciones tomen diferentes acciones que conlleve al establecimiento de: observatorios académicos, tutorías, cursos de nivelación, acompañamiento a estudiantes en riesgo académico, y proyectos especiales de promoción de la permanencia (Velásquez, y otros, 2011). Por ello, las instituciones de educación superior en estos últimos años han realizado esfuerzos con el objetivo de aumentar el porcentaje de graduación, lo que no ha sido una tarea fácil de cumplir (Fernández & Silva, 2014), sin embargo, en algunos países se intenta tomar acciones con la finalidad de garantizar la continuidad de los estudiantes hasta obtener su título universitario. En el caso del Ecuador, el gobierno, ha tomado medidas para reducir la deserción educativa, implementado nuevos procesos de admisión, con la finalidad de que los alumnos tengan un perfil que posibilite una formación propia, que además de superar las debilidades en el proceso de ingreso de postulantes a la formación profesional, viabilice mejores índices de permanencia y graduación para evitar el desperdicio de recursos (Consejo Nacional de Evaluación y Acreditación de la Educación Superior, 2003). Es así, que el nuevo Sistema Nacional de Nivelación y Admisión (SNNA) interviene como una propuesta que busca evitar la deserción universitaria, de manera especial en los alumnos que ingresan a los primeros niveles (Espinoza, 2011) y terminen su carrera. Así, tras anteceder lo que está pasando en las universidades, el objetivo del presente estudio es analizar los factores de ámbito personal que motivan el abandono estudiantil de un alumno universitario.","1"
"factores de ámbito personal que motivan el abandono estudiantil el caso de un alumno universitario","conclusions","La deserción estudiantil es una problemática que podría seguir coexistiendo aun cuando las instituciones educativas de nivel superior se transformen o cambien. La motivación al logro influye en el desarrollo académico de los estudiantes, por tanto, sería necesario que las universidades puedan atender algunos aspectos motivacionales que facilite la mejora del aprendizaje, así como otras prácticas de apoyo para disminuir la deserción estudiantil y fortalecer la permanencia del alumno universitario. La utilización de la herramienta FODA, permitió analizar los factores internos y externos, permitiendo conocer de manera más profunda el problema de Ángel, lo que generó, se plantearan estrategias para aumentar las competencias sociales, autoestima, autocontrol y autorregulación.","1"
